f.name,id,,f.size,AnimalID,LabID,Location,Broad,Use for vcf,Sex,Haplotype,cov.mean,X
z0004522_Pcra_RunH106L6_n0001951.fastq.gz.bam,z0004522,0,"85,480,901.00",4522,4522,IndianOcean,IO,,F,21,67.70259883,
z0116974_Pcra_RunH119L8nuc_n0002432.fastq.gz.bam,z0116974,,"34,817,377.00",116974,116974,Oman,IO,,,NA,133.0866276,
z0116972_Pcra_RunH119L8nuc_n0002431.fastq.gz.bam,z0116972,,"34,199,752.00",116972,116972,Oman,IO,,,NA,51.65708882,
z0007397_Pcra_RunH119L8nuc_n0002383.fastq.gz.bam,z0007397,,"9,612,503.00",7397,7397,MALAYSIA,IO,,M,20,29.00719863,
z0116585_Pcra_RunH119L8nuc_n0002427.fastq.gz.bam,z0116585,,"44,371,869.00",116585,116585,Marianas,Marianas,,F,34,128.9300268,
z0116588_Pcra_RunH119L8nuc_n0002428.fastq.gz.bam,z0116588,,"42,180,731.00",116588,116588,Marianas,Marianas,,F,9,127.0321498,
z0116580_Pcra_RunH119L8nuc_n0002425.fastq.gz.bam,z0116580,,"40,004,696.00",116580,116580,Marianas,Marianas,,F,7,94.31972914,
z0116577_Pcra_RunH119L8nuc_n0002424.fastq.gz.bam,z0116577,,"30,488,775.00",116577,116577,Marianas,Marianas,,F,34,92.91343338,
z0108130_Pcra_RunH106L6_n0002007.fastq.gz.bam,z0108130,0,"276,066,905.00",108130,108130,HIK,MHI,,F,1,110.6673987,
z0075676_Pcra_RunH106L6_n0001998.fastq.gz.bam,z0075676,0,"267,951,275.00",75676,75676,HIBigI,MHI,,F,1,149.966447,
z0018945_Pcra_RunH106L6_n0001974.fastq.gz.bam,z0018945,0,"254,653,518.00",18945,18945,HIM,MHI,,F,2,150.1063324,
z0033898_Pcra_RunH119L8nuc_n0002346.fastq.gz.bam,z0033898,0,"252,197,904.00",33898,33898,HIO,MHI,,M,1,133.080039,
z0091086_Pcra_RunH106L6_n0002000.fastq.gz.bam,z0091086,0,"234,195,320.00",91086,91086,HIBigI,MHI,,F,1,131.1264031,
z0108135_Pcra_RunH119L8nuc_n0002419.fastq.gz.bam,z0108135,0,"229,899,716.00",108135,108135,HIK,MHI,,M,1,191.6536725,
z0132660_Pcra_RunH119L8nuc_n0002399.fastq.gz.bam,z0132660,0,"227,743,478.00",132660,132660,HIBigI,MHI,,M,2,39.73462665,
z0108128_Pcra_RunH106L6_n0002006.fastq.gz.bam,z0108128,0,"223,172,352.00",108128,108128,HIK,MHI,,M,1,105.761835,
z0033885_Pcra_RunH119L8nuc_n0002345.fastq.gz.bam,z0033885,0,"206,065,458.00",33885,33885,HIO,MHI,,F,1,161.8835408,
z0027453_Pcra_RunH106L6_n0001977.fastq.gz.bam,z0027453,0,"201,260,203.00",27453,27453,HIO,MHI,,F,1,117.2314544,
z0033905_Pcra_RunH106L6_n0001982.fastq.gz.bam,z0033905,0,"196,668,664.00",33905,33905,HIO,MHI,,M,1,119.3486457,
z0098737_Pcra_RunH106L6_n0002001.fastq.gz.bam,z0098737,0,"195,465,887.00",98737,98737,HIBigI,MHI,,F,2,150.7401781,
z0033903_Pcra_RunH106L6_n0002049.fastq.gz.bam,z0033903,0,"179,015,154.00",33903,33903,HIO,MHI,,F,1,94.81185944,
z0030072_Pcra_RunH106L6_n0001952.fastq.gz.bam,z0030072,0,"177,967,528.00",30072,30072,HIBigI,MHI,,F,1,107.4580283,
