"","Animal.ID","CR.hap","Location","Fine","Broad","Ocean_Basin"
"432","z0217549",9,"HIPel","CNP-SE","CNP","North Pacific"
"433","z0175247",1,"MHI","MHI","MHI","North Pacific"
"434","z0175248",1,"MHI","MHI","MHI","North Pacific"
"435","z0175249",1,"MHI","MHI","MHI","North Pacific"
"436","z0125684",2,"Philippines","Philippines","Wpac","North Pacific"
"437","z0159712",1,"MHI","MHI","MHI","North Pacific"
"438","z0191162",47,"Madagascar","Madagascar","IO","Indian Ocean"
"439","z0191163",47,"Madagascar","Madagascar","IO","Indian Ocean"
"440","z0214699",1,"MHI","MHI","MHI","North Pacific"
"441","z0217541",6,"HIPel","CNP-NW","CNP","North Pacific"
"442","z0217543",9,"CNPLongLine","CNP-SE","CNP","North Pacific"
"443","z0218149",1,"MHI","MHI","MHI","North Pacific"
"444","z0116974",53,"Oman","Oman","IO","Indian Ocean"
"445","z0007636",54,"Korean market","Unknown","Unknown","Unknown"
"446","z0185086",55,"HIPel","CNP-SE","CNP","North Pacific"
"447","z0013844",56,"Korean market","Unknown","Unknown","Unknown"
"448","z0217542",6,"HIPel","CNP-NW","CNP","North Pacific"
"449","z0218148",1,"MHI","MHI","MHI","North Pacific"
"450","z0218150",1,"MHI","MHI","MHI","North Pacific"
"451","z0222577",1,"MHI","MHI","MHI","North Pacific"
"452","z0222578",2,"MHI","MHI","MHI","North Pacific"
"453","z0222579",1,"Kauai","NWHI","NWHI","North Pacific"
"454","z0222580",1,"Kauai","NWHI","NWHI","North Pacific"
"455","z0218145",1,"MHI","MHI","MHI","North Pacific"
